stories_id,title,url,publish_date,media_name,media_id,media_inlink_count,inlink_count,outlink_count,facebook_share_count,post_count,author_count,channel_count
244047150,"Ebola outbreak in West Africa 'out of control'",http://feeds.foxnews.com/~r/foxnews/health/~3/OBgHmi8ltEw/,"2014-06-20 13:35:56","Fox News",1092,0,0,0,218,,,
244883259,"Five reasons why this World Cup is the greatest ever",http://www.breitbart.com/Breitbart-London/2014/06/23/Five-reasons-why-this-World-Cup-is-the-greatest-ever,"2014-06-23 11:29:00",Breitbart,19334,0,0,0,28,,,
245360357,"World View: Ebola Virus Is 'Out of Control' in Western Africa",http://www.breitbart.com/Big-Peace/2014/06/23/24-Jun-14-World-View-Egypt-s-Kangaroo-Court-finds-Al-Jazeera-journalists-guilty-with-no-evidence,"2014-06-24 14:37:31",Breitbart,19334,0,0,0,9,,,
246109068,"WHO reduces Ebola death toll in Sierra Leone",http://feeds.foxnews.com/~r/foxnews/health/~3/xGW_NnmeJd8/,"2014-06-26 11:23:28","Fox News",1092,0,0,0,13,,,
247418556,"Could Ebola come to U.S.?",http://www.foxnews.com/health/2014/06/30/could-ebola-spread-to-united-states/,"2014-06-30 13:26:22","Fox News",1092,0,0,0,494,,,
248148456,"Ebola toll jumps to 467 as ministers mull response",http://feeds.foxnews.com/~r/foxnews/health/~3/FUw62ppJTUk/,"2014-07-02 12:16:28","Fox News",1092,0,0,0,11,,,
248235987,"Controversial Scientist Devotes Himself to Making the Flu Virus Worse",http://www.breitbart.com/Big-Government/2014/07/02/Scientist-Creates-Killer-Virus,"2014-07-02 19:30:51",Breitbart,19334,0,0,0,1,,,
248510450,"Fear, cash shortages hinder fight against Ebola outbreak",http://feeds.foxnews.com/~r/foxnews/health/~3/WYcTCl6VVZc/,"2014-07-03 12:18:59","Fox News",1092,0,0,0,21,,,
249184407,"Reverend Franklin Graham of Samaritan’s Purse as we head out fishing with the wounded and their families – he leads great projects around the world from fighting ebola in Africa to Operation Heal Our Patriots and lots in between",http://feeds.foxnews.com/~r/blogs/Gretawire/~3/3ujBR-jEV2I/,"2014-07-05 14:23:33","Fox News",1092,0,0,0,2,,,
250982649,"Ebola in Africa: Can we dodge a global pandemic?",http://feeds.foxnews.com/~r/foxnews/health/~3/QhCpGScS2u4/,"2014-07-10 16:46:30","Fox News",1092,0,0,0,135,,,
255466340,"'NATIONAL HERO' Sierra Leone's chief Ebola doctor contracts the virus",http://www.foxnews.com/health/2014/07/23/sierra-leone-chief-ebola-doctor-contracts-virus/,"2014-07-23 18:56:30","Fox News",1092,0,0,0,786,,,
255498983,"Bubonic Plague Hits China",http://www.breitbart.com/Big-Peace/2014/07/23/Bubonic-Plague-Hits-China,"2014-07-23 21:06:01",Breitbart,19334,0,0,0,291,,,
256157302,"First Ebola victim in Sierra Leone capital missing from hospital",http://feeds.foxnews.com/~r/foxnews/health/~3/LtfYSQXQrvU/,"2014-07-25 14:04:40","Fox News",1092,0,0,0,49,,,
256549975,"Ebola is very contagious — guy flew from Liberia to Nigeria, died two days later – who besides the other passengers did he come in contact with??  click to read (and the fact so easy to spread and so contagious and so deadly makes this VERY dangerous!)",http://feeds.foxnews.com/~r/blogs/Gretawire/~3/AYVSGJLMGag/,"2014-07-26 21:41:50","Fox News",1092,0,0,0,6,,,
256549977,"SAMARITAN’s PURSE DOCTOR, SERVING IN LIBERIA, TESTS POSITIVE FOR EBOLA – click to read",http://feeds.foxnews.com/~r/blogs/Gretawire/~3/g3UzLduehr8/,"2014-07-26 21:29:23","Fox News",1092,0,0,0,94,,,
256683850,"DOC DIES OF EBOLA Liberian doctor dies amid largest-ever outbreak",http://www.foxnews.com/health/2014/07/27/ebola-virus-kills-senior-doctor-in-liberia/,"2014-07-27 13:57:50","Fox News",1092,0,0,0,0,,,
256695393,"BREAKING NEWS: DOCTOR DIES FROM EBOLA, and SECOND DOCTOR (an American working for Samaritan’s Purse) has tested positive for Ebola – click to read",http://feeds.foxnews.com/~r/blogs/Gretawire/~3/ECrpPLhul2s/,"2014-07-27 13:29:21","Fox News",1092,0,0,0,3,,,
256723052,"American doctor in Africa gets treatment for Ebola",http://feedproxy.google.com/~r/FOREIGN-TheWashingtonTimesAmericasNewspaper/~3/YC3O6SXw5B0/,"2014-07-27 16:53:02","Washington Times",101,0,0,0,3,,,
